@relation traffic 
@attribute srcIP {10.0.2.15,213.180.204.8,91.144.166.4,217.69.128.53,94.100.189.46,74.125.43.101,74.125.43.102,74.125.43.138,74.125.43.113,74.125.87.101,208.117.241.84,204.246.234.19,74.125.43.139,74.125.43.118,74.125.87.147}
@attribute dstIP {213.180.204.8,10.0.2.15,91.144.166.4,217.69.128.53,94.100.189.46,74.125.43.101,74.125.43.102,74.125.43.113,74.125.43.138,74.125.87.101,208.117.241.84,204.246.234.19,74.125.43.139,74.125.43.118,74.125.87.147}
@attribute length {98,86,151,74,60,54,1225,1444,76,92,612,1514,603,75,203,866,642,1438,737,113,742,70,627,1244,982,719,206,180,672,491,575,570,576,574,573,1030,218,587,328,361,1039,1430,295,468,432,228,926,1122,368,541,855,778,633,676,891,205,559,187,85,71,123,476,430,459,986,1482,136,1062,248,198,629,422,438,200,378,290,623,1204,886,1494,214,846,112,1026,325,481,495,493,72,117,374,486,376,330,662,373,97,474,1119,1099,1165,319,803,660,781,415,1125,1484,564,1290,622,901,492,464,436,396,751,1106,88}
@attribute protocol {ICMP,UDP,TCP}
@attribute srcCountry {@@,RU,DE,US}
@attribute dstCountry {RU,@@,DE,US}
@data
10.0.2.15,91.144.166.4,70,UDP,@@,RU
10.0.2.15,91.144.166.4,70,UDP,@@,RU
74.125.43.101,10.0.2.15,982,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
10.0.2.15,74.125.43.101,719,TCP,@@,US
74.125.43.101,10.0.2.15,60,TCP,US,@@
91.144.166.4,10.0.2.15,206,UDP,RU,@@
10.0.2.15,74.125.43.102,74,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,180,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
91.144.166.4,10.0.2.15,206,UDP,RU,@@
91.144.166.4,10.0.2.15,206,UDP,RU,@@
91.144.166.4,10.0.2.15,206,UDP,RU,@@
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,672,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.102,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
10.0.2.15,74.125.43.102,74,TCP,@@,US
74.125.43.102,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
10.0.2.15,74.125.43.102,491,TCP,@@,US
10.0.2.15,74.125.43.102,74,TCP,@@,US
10.0.2.15,74.125.43.102,491,TCP,@@,US
10.0.2.15,74.125.43.113,74,TCP,@@,US
10.0.2.15,74.125.43.113,74,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
